$Date,$Time,VI-251B,VI-252B,VI-253B,VI-254B,VI-261B,VI-262B,VI-263B,VI-264B
02/15/16,00:00:00,7.106227,3.553113,9.230769,7.545787,18.02198,8.717949,17.87546,15.77534
02/15/16,00:01:00,6.849817,3.626374,9.267399,7.582417,17.77778,8.473748,18.11966,15.82418
02/15/16,00:02:00,7.106227,3.516484,9.340659,7.509158,17.72894,8.571428,17.82662,15.7265
02/15/16,00:03:00,7.912088,3.846154,10.21978,7.912088,18.73016,8.473748,18.87668,15.77534
02/15/16,00:04:00,7.435897,3.663004,9.523809,7.728938,18.24176,8.815629,18.38828,15.77534
02/15/16,00:05:00,7.106227,3.626374,9.267399,7.619048,18.07082,8.522589,18.19292,15.87302
02/15/16,00:06:00,8.058608,3.699634,10.25641,7.875458,18.82784,8.620269,18.87668,15.77534
02/15/16,00:07:00,6.959707,3.626374,9.413919,7.582417,17.72894,8.424909,17.82662,15.7265
02/15/16,00:08:00,7.106227,3.663004,9.523809,7.692307,18.11966,8.522589,18.24176,15.77534
02/15/16,00:09:00,6.630037,3.516484,9.267399,7.399267,17.6801,8.522589,18.07082,15.77534
02/15/16,00:10:00,7.216117,3.809524,9.67033,7.582417,17.77778,8.522589,18.33944,15.77534
02/15/16,00:11:00,7.362638,3.699634,9.67033,7.582417,17.97314,8.571428,18.24176,15.7265
02/15/16,00:12:00,6.959707,3.553113,9.267399,7.509158,17.58242,8.571428,17.82662,15.77534
02/15/16,00:13:00,6.996337,3.553113,9.413919,7.619048,17.82662,8.620269,18.02198,15.82418
02/15/16,00:14:00,7.692307,3.846154,9.92674,7.875458,18.58364,8.571428,18.58364,15.7265
02/15/16,00:15:00,6.923077,3.516484,9.37729,7.545787,17.53358,8.571428,17.87546,15.77534
02/15/16,00:16:00,6.849817,3.626374,9.340659,7.582417,17.48474,8.522589,17.82662,15.7265
02/15/16,00:17:00,6.996337,3.553113,9.48718,7.582417,17.82662,8.669108,18.02198,15.77534
02/15/16,00:18:00,6.996337,3.553113,9.120879,7.509158,17.63126,8.571428,17.9243,15.82418
02/15/16,00:19:00,6.849817,3.479853,9.230769,7.582417,17.58242,8.620269,17.9243,15.92186
02/15/16,00:20:00,6.959707,3.479853,9.267399,7.435897,17.33822,8.522589,17.82662,15.82418
02/15/16,00:21:00,6.923077,3.516484,9.340659,7.582417,17.58242,8.620269,18.07082,15.77534
02/15/16,00:22:00,7.399267,3.626374,9.70696,7.692307,18.07082,8.717949,18.33944,15.87302
02/15/16,00:23:00,7.399267,3.626374,9.560439,7.692307,18.24176,8.766788,18.11966,15.92186
02/15/16,00:24:00,7.069597,3.553113,9.340659,7.545787,17.9243,8.669108,18.11966,15.82418
02/15/16,00:25:00,7.362638,3.516484,9.37729,7.545787,17.72894,8.571428,17.87546,15.82418
02/15/16,00:26:00,7.435897,3.699634,9.81685,7.692307,18.07082,8.571428,18.48596,15.87302
02/15/16,00:27:00,7.399267,3.663004,9.67033,7.619048,17.72894,8.620269,18.48596,15.87302
02/15/16,00:28:00,7.069597,3.553113,9.523809,7.545787,17.72894,8.571428,18.11966,15.77534
02/15/16,00:29:00,7.252747,3.626374,9.413919,7.545787,18.2906,8.815629,18.43712,15.77534
02/15/16,00:30:00,7.362638,3.699634,9.48718,7.582417,18.58364,8.766788,18.58364,15.77534
02/15/16,00:31:00,6.959707,3.406593,9.37729,7.435897,17.82662,8.669108,17.9243,15.67766
02/15/16,00:32:00,7.216117,3.626374,9.340659,7.692307,18.11966,8.620269,18.11966,15.82418
